,Latitude,Longitude
Pittsburgh,40.439593,-79.988935
Chicago,41.880647,-87.674153
NYC,40.750704,-73.993752
Washington,38.898125,-77.020963
Newark,40.733282,-74.171262
Toronto,43.643521,-79.379082
Boston,42.366487,-71.062106
Albany,42.648525,-73.754733
Hartford,41.768354,-72.676647
Philadelphia,39.901096,-75.171874
Sunrise,26.158469,-80.325551
Atlanta ,33.757168,-84.396345
Louisville,38.25745,-85.753958
Cleveland,41.496577,-81.688076
Buffalo,42.874947,-78.876246
Rochester,43.153782,-77.610824
Saint Paul,44.944707,-93.101099
Milwaukee,43.043661,-87.917147
St. Louis,38.632521,-90.228184
Phoenix,33.445953,-112.07145
Oakland ,37.750277,-122.202862
LA ,34.012589,-118.284748
LA ,34.012589,-118.284748
LA ,34.012589,-118.284748
Portland ,45.53186,-122.66682
Seattle,47.621582,-122.350849
NYC,40.750704,-73.993752
Denver,39.748639,-105.007529
Oklahoma City,35.463417,-97.515118
Dallas,32.790492,-96.810285
Kansas City,39.097951,-94.580319
Columbus,40.007526,-83.025097
Auburn Hills,42.697129,-83.245517
University Park,40.80852,-77.855612
Baltimore,39.288478,-76.618697
Brooklyn,40.682657,-73.975282
Brooklyn,40.682657,-73.975282
Barcelona,41.380645,2.122732
San Sebastian,43.301185,-1.973709
Lisbon,38.749999,-9.125644
Madrid,40.452952,-3.688309
Manchester,53.483006,-2.200345
Dublin,53.360826,-6.251081
Dublin,53.360826,-6.251081
Glasgow,55.825234,-4.253199
Coventry,52.448089,-1.495482
London,51.556701,-0.279665
The Hague,52.085721,4.319655
Munich,48.172374,11.544524
Berlin,52.51454,13.23948
Copenhagen,55.702504,12.572469
Gothenburg,57.706008,11.987253
Gothenburg,57.706008,11.987253
Oslo,59.949475,10.734653
Milan,45.478103,9.124199
Milan,45.478103,9.124199
Werchter,50.967229,4.685723
Paris,48.839169,2.378229
Paris,48.839169,2.378229
Rome,41.885406,12.485067
Horsens,55.871204,9.857408
Gothenburg,57.706008,11.987253
Trondheim,63.377441,10.308963
Oslo,59.935068,10.743284
Zurich,47.382666,8.503808
East Rutherford,40.814209,-74.07369
East Rutherford,40.814209,-74.07369
Chicago,41.880647,-87.674153
East Rutherford,40.814209,-74.07369
Washington,38.892851,-77.01621
Virginia Beach,36.769254,-76.103952
Philadelphia,39.905993,-75.16664
Philadelphia,39.905993,-75.16664
Pittsburgh,40.439593,-79.988935
Foxborough,42.092537,-71.264125
Perth,-31.948361,115.852022
Perth,-31.948361,115.852022
Perth,-31.948361,115.852022
Adelaide,-34.907925,138.573786
Melbourne,-37.825124,144.983761
Melbourne,-37.825124,144.983761
Sydney,-33.844364,151.06214
Sydney,-33.844364,151.06214
Hanging Rock,-37.330669,144.59467
Brisbane,-27.342432,153.070568
Brisbane,-27.342432,153.070568
Hope Estate,-32.767537,151.31253
Christchurch,-43.543612,172.604812
Auckland,-36.918281,174.81235
